陶都┃影音之家,#genre#
🌼꯭ཽ꧓꯭碼頭文旅꯭ᩚꦸ꯭,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
💝ℯ⃝虞人影視①,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
💝ℯ⃝虞人影視②,http://maomao.kandiantv.cn/douyu1.php?id=4246519
💝ℯ⃝虞人影視③,http://maomao.kandiantv.cn/douyu1.php?id=74374  
💝ℯ⃝虞人影視④,rtmp://f13h.mine.nu/sat/tv721
💝ℯ⃝虞人影視⑤,http://maomao.kandiantv.cn/douyu1.php?id=434971
💝ℯ⃝虞人影視⑥,http://www.lizhinas.top:8688/udp/239.252.219.86:5140
💝ℯ⃝虞人影視⑦,http://www.lizhinas.top:8688/rtp/239.252.220.179:5140
💝ℯ⃝虞人影視⑧,https://www.goodiptv.club/douyu/3637778
💝ℯ⃝虞人影視⑨,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
💝ℯ⃝虞人影視⑩,http://183.66.15.138:4070/udp/235.254.198.97:1664

.🆗.中国港澳.🆗.,#genre#
凤凰中文频道,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://s.cdhongyuan.cn:4022/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰中文频道,http://s.cdhongyuan.cn:4022/rtp/239.93.1.9:2192?Cf=cfss.cc
凤凰中文频道,http://xeace.cn:8888/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰中文频道,http://xeace.cn:8888/rtp/239.93.1.9:2192?Cf=cfss.cc
凤凰中文频道,http://60.164.229.91:4040/udp/239.255.30.50:8231
凤凰中文频道,http://146.56.153.245:20121/bysid/258
凤凰中文频道,http://223.19.212.121:20121/bysid/258
凤凰中文频道,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.162:2192

凤凰资讯频道,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://s.cdhongyuan.cn:4022/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯频道,http://s.cdhongyuan.cn:4022/rtp/239.93.1.4:2191?Cf=cfss.c
凤凰资讯频道,http://xeace.cn:8888/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯频道,http://xeace.cn:8888/rtp/239.93.1.4:2191?Cf=cfss.cc
凤凰资讯频道,http://60.164.229.91:4040/rtp/239.255.30.70:8231
凤凰资讯频道,http://146.56.153.245:20121/bysid/257
